INPUT:ns,INPUT:year,INPUT:split,INPUT:attack,INPUT:rev_id,INPUT:sample,INPUT:comment,INPUT:is_gold,INPUT:is_main,INPUT:is_train,INPUT:q_attack,INPUT:is_attack,INPUT:logged_in,INPUT:q_article,INPUT:is_article,INPUT:q_baseline,INPUT:is_baseline,INPUT:other_attack,INPUT:quoting_attack,INPUT:text_wordcount,INPUT:recipient_attack,INPUT:in_out_radio_gold,INPUT:is_subset_balanced,INPUT:third_party_attack,OUTPUT:worker_uuid,OUTPUT:in_out_radio,OUTPUT:screen_width,OUTPUT:screen_height,OUTPUT:page_started_at,OUTPUT:pb_in_out_radio,OUTPUT:reading_timelog,OUTPUT:attack_in_out_radio,OUTPUT:article_in_out_radio,OUTPUT:pb_judgments_timelog,OUTPUT:page_started_at_string,OUTPUT:attack_judgments_timelog,OUTPUT:article_judgments_timelog,OUTPUT:instructions_reading_time,GOLDEN:worker_uuid,GOLDEN:in_out_radio,GOLDEN:screen_width,GOLDEN:screen_height,GOLDEN:page_started_at,GOLDEN:pb_in_out_radio,GOLDEN:reading_timelog,GOLDEN:attack_in_out_radio,GOLDEN:article_in_out_radio,GOLDEN:pb_judgments_timelog,GOLDEN:page_started_at_string,GOLDEN:attack_judgments_timelog,GOLDEN:article_judgments_timelog,GOLDEN:instructions_reading_time,HINT:text,ASSIGNMENT:link,ASSIGNMENT:assignment_id,ASSIGNMENT:worker_id,ASSIGNMENT:status,ASSIGNMENT:started,ASSIGNMENT:submitted,ASSIGNMENT:accepted,ASSIGNMENT:reward,job_id,condition,decision_time,decision_time_attack,decision_time_article,page_number,included_gold,judgment_correct,max_page,reading_time
article,2013,test,0.65,583815986,blocked,"`NEWLINE_TOKENNEWLINE_TOKEN== I freaking hate this show ==NEWLINE_TOKENNEWLINE_TOKENthe rifleman is freaking crapping  stupidNEWLINE_TOKENrobot chicken is 1,00,000 times better than bull creap ripleman  NEWLINE_TOKENi think chuck connors should curl up in a ball and i will shove him in a box and float him down the river because the rifle boy or what ever chuck desided to freaking call this piece of art or as i call pig fart cause the gun boy is the worst horrible show ever i think it's a biohazard to mankind its self i mean seriously why the crap would upchuck conman-er waste his whole life about this trash he even made like half of the channel who in the world oh i mean universe would watch this this show might cause the universe as we know will implode on its selve all because some idiotic man - woman made THIS STUPID SHOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOWWWWWWWWWWWWWWWWWWWWWWW do chucks parents agree with this the rifleman has nothing but cowboys and all this poop oh you think this is bad this is only the beginning there's a novel a video game a convetion and lego sets of this bull crap first to the novel he wrote a book about how he thought of this so called ``masterpiece`` there's only 1 page and it says ``i was bored and then became a director`` the end this book cost $60.00 and when i got to the store the clerk said it's a bestseller then i shot him and connor's co producer i swear if i ever see chuck connors im gonna tell him he's number 1 (flick him off , shave his head, and shoot him in the arm multiple times then feed him grenades) so yeah he's a butt now to the lego sets..... i love lego ok it's awesome untill chuck threatened them to make rifleman lego sets or he would nuke them 500,000,000,000,000,000,000,000,000,000,000,000,001 times wow what an poor lego now the video game it's so boring level 1 you just say hi then the game is over wow awesome right the convention it was in town earlier now it happens every 6,001 years wto ( what the oreo) chuck go die you piece of crap tom cruise is better than you i heard the navy is doing a man-hunt for you so grab your binky and hide cause they're coming for you.   `",,1.0,,True,1,False,False,0,True,1,0.2,0.05,392,0.25,1-0,1,0.25,65f730be-6410-2823-4557-781562987d3b,1-0,1878,898,1574687407127,,"{""24749800"":39,""583815986"":0,""605135817"":30}",1,,,,"[{""time"":""2019-11-25T13:11:13.714Z""}]",,1.0,,,,,,,,,,,,,,,,https://toloka.yandex.ru/task/8702893/000084cbad--5ddbd2aac0c59a011d84db95,000084cbad--5ddbd2aac0c59a011d84db95,1f4dcb5337fcfed5e57353f1a0dace5b,APPROVED,2019-11-25T13:10:02.766,2019-11-25T13:11:49.816,2019-11-25T13:11:49.816,0.09,8702893,attack,66.587,66.587,,1,1,True,4,0
article,2005,train,0.1,24749800,blocked,"`NEWLINE_TOKENNEWLINE_TOKENThe previous comment of the article states that MOC was not re-established in 1993, which is a fallacy. The MOC has been legally registered in Montenegro in line with the valid legal system of the state of Montenegro and in line with the laws in Montenegro - which is clearly apparent from the MOC page on Wikipedia. The MOC Church is called the Montenegrin Orthodox Church in its formal registration in Montenegro, so there is no space for speculation here. The Church was re-established after a separate existence until 1920 and a ban by the Serbian (then Yugoslav) autocratic King Aleksandar. NEWLINE_TOKENThe article does not claim that MOC is a major branch of Eastern Orthodoxy outside Montenegro. NEWLINE_TOKENNEWLINE_TOKENThe statement ``over 74% of Montenegrins are Eastern Orthodox Christians, most of whom belong to the Serb Orthodox Church`` is anyway a fallacy, as there is no accurate census that can prove this. One may say truthfully say that ``most Montenegrins are Eastern Orthodox Christians, most of whom belong to the Serb Orthodox Church``, but a large number of Montenegrins are atheists, agnostics, or otherwise, myself included. Being a Montenegrin does not mean that you are part of the 74% of Eastern Orthodox Christians. Sorry, this is the 21st century.NEWLINE_TOKENNEWLINE_TOKENYou can not just delete the fact that MOC followers claim that ``all of the existing churches in Montenegro were once part of an autonomous Montenegrin Orthodox Church that was abolished following the union with Serbia in 1918.`` This is the explanation why shrines are not being built en masse in Montenegro by the MOC, as it claims to inherit the churches currently in the hands of SOC. If we put only one viewpoint in ``its following is small to the point of non-existence and it has not been recognised by any other Orthodox Church`` it is not balanced. Also, the statement ``its following is small to the point of non-existence`` needs to be based on fact not fancy. Do you have an official census of followers or is this your speculation?NEWLINE_TOKENNEWLINE_TOKEN- user .NEWLINE_TOKEN`",1.0,,,False,0,False,True,1,False,0,0.0,0.0,340,0.1,0-1,1,0.0,65f730be-6410-2823-4557-781562987d3b,0-1,1878,898,1574687407127,,"{""24749800"":39,""583815986"":0,""605135817"":30}",0,,,,"[{""time"":""2019-11-25T13:11:21.472Z""}]",,1.0,,0-1,,,,,,,,,,,,,,https://toloka.yandex.ru/task/8702893/000084cbad--5ddbd2aac0c59a011d84db95,000084cbad--5ddbd2aac0c59a011d84db95,1f4dcb5337fcfed5e57353f1a0dace5b,APPROVED,2019-11-25T13:10:02.766,2019-11-25T13:11:49.816,2019-11-25T13:11:49.816,0.09,8702893,attack,7.758,7.758,,1,0,True,4,39
user,2014,test,0.5555555556,605135817,blocked,"`NEWLINE_TOKEN::You've got to be kidding me. You accuse me of personal attackes when accountless User:172.56.11.26 has now ``suddenly taken an inteterest in articles I was editing``, why is that ? Because they want to harrass me and they have also personally attacked me by making remarks on the Gary Gabelich talk page about the ancestry of the man (I am Yugoslav as is Gabelich). This user who is now personally attacked me via stalking of articles I edited is now using racism to get back at me. A Biographical article is not only about one acheivement, but ones whole life and that includes ancestry. That abusive user 172.56.11.26 is going to sabotage that article to get back at me, and you're protecting him.  he accused me of ``vandalism`` when all I did was make the article conform to Biographical standards and moreover to back me up a higher level editor reverted his reversion of my sensible edit. So who is the real vandal ? - Another contention that I ran into was some want to promote Gary's parents ethnicity above his LSR. He is famous as a world record breaker and not for his ethnicity which likely would of been of little concern in the SOCAL American drag scene of the 1960's. It is included under his personal life. Much information about his family was also added. 172.56.11.26 (talk)   If that's not a personal attack against me disguised as a legitimate edit I dont know what is. PLease delete my account, I am dont with you nasty, dispicable people   `",,1.0,,True,1,True,True,1,False,0,0.11111111109999999,0.11111111109999999,260,0.44444444439999997,1-1,1,0.11111111109999999,65f730be-6410-2823-4557-781562987d3b,x-x,1878,898,1574687407127,,"{""24749800"":39,""583815986"":0,""605135817"":30}",0,,,,"[{""time"":""2019-11-25T13:11:47.192Z""},{""time"":""2019-11-25T13:11:48.265Z""}]",,1.0,,,,,,,,,,,,,,,,https://toloka.yandex.ru/task/8702893/000084cbad--5ddbd2aac0c59a011d84db95,000084cbad--5ddbd2aac0c59a011d84db95,1f4dcb5337fcfed5e57353f1a0dace5b,APPROVED,2019-11-25T13:10:02.766,2019-11-25T13:11:49.816,2019-11-25T13:11:49.816,0.09,8702893,attack,26.793,26.793,,1,0,False,4,30
user,2014,test,0.5555555556,605135817,blocked,"`NEWLINE_TOKEN::You've got to be kidding me. You accuse me of personal attackes when accountless User:172.56.11.26 has now ``suddenly taken an inteterest in articles I was editing``, why is that ? Because they want to harrass me and they have also personally attacked me by making remarks on the Gary Gabelich talk page about the ancestry of the man (I am Yugoslav as is Gabelich). This user who is now personally attacked me via stalking of articles I edited is now using racism to get back at me. A Biographical article is not only about one acheivement, but ones whole life and that includes ancestry. That abusive user 172.56.11.26 is going to sabotage that article to get back at me, and you're protecting him.  he accused me of ``vandalism`` when all I did was make the article conform to Biographical standards and moreover to back me up a higher level editor reverted his reversion of my sensible edit. So who is the real vandal ? - Another contention that I ran into was some want to promote Gary's parents ethnicity above his LSR. He is famous as a world record breaker and not for his ethnicity which likely would of been of little concern in the SOCAL American drag scene of the 1960's. It is included under his personal life. Much information about his family was also added. 172.56.11.26 (talk)   If that's not a personal attack against me disguised as a legitimate edit I dont know what is. PLease delete my account, I am dont with you nasty, dispicable people   `",,1.0,,True,1,True,True,1,False,0,0.11111111109999999,0.11111111109999999,260,0.44444444439999997,1-1,1,0.11111111109999999,d93ad37a-b756-16fa-1f5c-1932af5bbc45,1-1,1474,656,1574687408446,,"{""17856960"":28,""583815986"":0,""605135817"":27}",1,,,,"[{""time"":""2019-11-25T13:10:38.721Z""}]",,2.0,,,,,,,,,,,,,,,,https://toloka.yandex.ru/task/8702893/000084cbad--5ddbd2adb59afa0121790fdd,000084cbad--5ddbd2adb59afa0121790fdd,02a609d8335acea874f2e77a13336296,APPROVED,2019-11-25T13:10:05.692,2019-11-25T13:11:17.560,2019-11-25T13:11:17.560,0.09,8702893,attack,30.275,30.275,,1,0,True,3,27
article,2005,train,0.6,17856960,blocked,"`NEWLINE_TOKENNEWLINE_TOKENWTF are you talking about?  There is no admin decision against me to not edit gender articles.  I'm full allowed to edit any and all articles.  Not only are you engaging in slanderous accusations, you're telling flat out lies.  I'd say spreading flat out lies which have absolutely not basis in reality against other members is a violation of several Wikipedia policies, so you better be VERY careful about what you say.  I strongly suggest that you retract your slanderous accusation before you further discredit yourself.Why the heck would I make changes under an alternate account when I have the full capability of doing it under this account?  NEWLINE_TOKENNEWLINE_TOKENAlso, where have I inserted any kind of right wing or religious views here?  Nothing I've said has anything to do with religion nor does it have anything to do with politics.  My points are extremely valid and you only rejected them because of your ridiculous personal biases and need to push your POV.  Not only are transvestites not necessarily transgendered, there are quite a few people on this list who are clearly NOT transvestites even using the description given in the article itself.  I have to question how anyone thought it was a good idea to add them.  NEWLINE_TOKENNEWLINE_TOKENI should also note that you're being hypocritical here, you're reverting a change on the basis that it hasn't been discussed, when you yourself refuse to discuss it!  I'd be very interested to know why a) non-transgendered people should be included on a list of transgendered ones and b) why transvestite is used as automatic criteria for seeing if someone is transgendered, even though there is nothing in the definition that indicates that.NEWLINE_TOKENNEWLINE_TOKENFrankly, this kind of behavior is appalling.  The supposedly open minded LGBT Wikipedian cliques criticize ``right wing religious`` people (and by right-wing religious that means anyone who doesn't agree with their extremist views) is actually one of the most close-minded groups on wikipedia, with the least likely chance of actually discussing things (as evidenced here) and least likely to consider others views.   29 June 2005 22:08 (UTC)`",1.0,,,True,1,True,True,1,False,0,0.1,0.0,346,0.5,1-1,1,0.0,d93ad37a-b756-16fa-1f5c-1932af5bbc45,1-1,1474,656,1574687408446,,"{""17856960"":28,""583815986"":0,""605135817"":27}",1,,,,"[{""time"":""2019-11-25T13:11:07.128Z""}]",,2.0,,1-1,,,,,,,,,,,,,,https://toloka.yandex.ru/task/8702893/000084cbad--5ddbd2adb59afa0121790fdd,000084cbad--5ddbd2adb59afa0121790fdd,02a609d8335acea874f2e77a13336296,APPROVED,2019-11-25T13:10:05.692,2019-11-25T13:11:17.560,2019-11-25T13:11:17.560,0.09,8702893,attack,28.407,28.407,,1,0,True,3,28
article,2013,test,0.65,583815986,blocked,"`NEWLINE_TOKENNEWLINE_TOKEN== I freaking hate this show ==NEWLINE_TOKENNEWLINE_TOKENthe rifleman is freaking crapping  stupidNEWLINE_TOKENrobot chicken is 1,00,000 times better than bull creap ripleman  NEWLINE_TOKENi think chuck connors should curl up in a ball and i will shove him in a box and float him down the river because the rifle boy or what ever chuck desided to freaking call this piece of art or as i call pig fart cause the gun boy is the worst horrible show ever i think it's a biohazard to mankind its self i mean seriously why the crap would upchuck conman-er waste his whole life about this trash he even made like half of the channel who in the world oh i mean universe would watch this this show might cause the universe as we know will implode on its selve all because some idiotic man - woman made THIS STUPID SHOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOWWWWWWWWWWWWWWWWWWWWWWW do chucks parents agree with this the rifleman has nothing but cowboys and all this poop oh you think this is bad this is only the beginning there's a novel a video game a convetion and lego sets of this bull crap first to the novel he wrote a book about how he thought of this so called ``masterpiece`` there's only 1 page and it says ``i was bored and then became a director`` the end this book cost $60.00 and when i got to the store the clerk said it's a bestseller then i shot him and connor's co producer i swear if i ever see chuck connors im gonna tell him he's number 1 (flick him off , shave his head, and shoot him in the arm multiple times then feed him grenades) so yeah he's a butt now to the lego sets..... i love lego ok it's awesome untill chuck threatened them to make rifleman lego sets or he would nuke them 500,000,000,000,000,000,000,000,000,000,000,000,001 times wow what an poor lego now the video game it's so boring level 1 you just say hi then the game is over wow awesome right the convention it was in town earlier now it happens every 6,001 years wto ( what the oreo) chuck go die you piece of crap tom cruise is better than you i heard the navy is doing a man-hunt for you so grab your binky and hide cause they're coming for you.   `",,1.0,,True,1,False,False,0,True,1,0.2,0.05,392,0.25,1-0,1,0.25,d93ad37a-b756-16fa-1f5c-1932af5bbc45,1-0,1474,656,1574687408446,,"{""17856960"":28,""583815986"":0,""605135817"":27}",1,,,,"[{""time"":""2019-11-25T13:11:16.234Z""}]",,2.0,,,,,,,,,,,,,,,,https://toloka.yandex.ru/task/8702893/000084cbad--5ddbd2adb59afa0121790fdd,000084cbad--5ddbd2adb59afa0121790fdd,02a609d8335acea874f2e77a13336296,APPROVED,2019-11-25T13:10:05.692,2019-11-25T13:11:17.560,2019-11-25T13:11:17.560,0.09,8702893,attack,9.106,9.106,,1,1,True,3,0
article,2009,train,0.1,309639840,blocked,"`NEWLINE_TOKENNEWLINE_TOKEN== Article ==NEWLINE_TOKENNEWLINE_TOKENI just read through the state of the article. A couple things, first is I agree that it seems to emphasize blogging (even in the title of the section) and seems to skirt over the vast majority of your traditional reporting. I intend to rewrite that section, is there a way I could get a list of links to articles you've written, either on fox or elsewhere? The fact that you have dropped some entries on Fox's blog should probably stay in there, but just as a note and the section as a whole, including the title, should probably focus on your career as a journalist. Second, I didn't quite understand ``The lede says I'm an ``embed on assignment in Iraq``. I've spent just as much time in Iraq.`` Could you possibly explain what you meant there? I could just be dense, but it left me confused. And the Ann Coulter photo... Is it under a free license? If so I don't really see a need to remove it. Any chance you can show me the diff that pulled it out? Thanks.  NEWLINE_TOKEN:What Matt seems to have said is that he's spent about equal amounts of time as a reporter in Afghanistan as in Iraq. '''' NEWLINE_TOKENNEWLINE_TOKEN::: I have spent roughly an equal amount of time in Afghanistan and Iraq.  NEWLINE_TOKENNEWLINE_TOKEN*The entries at the Fox Blog are meant to promote the articles.  We technically get paid for the articles over at Foxnews.com.  NEWLINE_TOKEN*I've never 'blogged' for money. NEWLINE_TOKEN*The references, in the article, to Rich Merritt and Jeff Gannon don't make sense, are not pertinent and are meant to malign me.  Neither of these gentlemen have anything to do with me or my past, either in porn or thereafter. NEWLINE_TOKEN*To get a list of articles I've written for Foxnews.com.  Go to Foxnews.com and enter Matt Sanchez.  Ditto at WND.comNEWLINE_TOKEN*I've appeared in French media, notably Kiosque, in Paris for TV5MondeNEWLINE_TOKENNEWLINE_TOKENNEWLINE_TOKENI've written in the foreign press in French and Spanish and for several American news organization:NEWLINE_TOKENNEWLINE_TOKENWorldnetdailyNEWLINE_TOKENNEWLINE_TOKENFoxnews.com  NEWLINE_TOKENNEWLINE_TOKENPajamas Media NEWLINE_TOKENNEWLINE_TOKENHuman Events  NEWLINE_TOKENNEWLINE_TOKENNational_Review_Online  NEWLINE_TOKENNEWLINE_TOKENWeekly StandardNEWLINE_TOKENNEWLINE_TOKENNEWLINE_TOKENTV5Monde French NEWLINE_TOKENNEWLINE_TOKENEl_Norte_(Monterrey) at Grupo Reforma Spanish    NEWLINE_TOKENNEWLINE_TOKEN*Just a couple of points.  I originally went into Iraq to cover The Surge, in 2007.  In December 2007, I covered the battle of Musa Qala in Helmand, Afghanistan .  I was recently back in Helmand, Afghanistan to cover the Marine offensive of 2009.  I've written on all these matters, for either WND.com or Foxnews.com.  I've embededed with over 75 units and with different military including Iraqi and Afghan forces.   `",,1.0,,False,0,True,True,1,False,0,0.0,0.0,419,0.0,0-1,1,0.1,d93ad37a-b756-16fa-1f5c-1932af5bbc45,0-1,1474,656,1574687481417,,"{""32984901"":1,""309639840"":1,""389446873"":5}",0,,,,"[{""time"":""2019-11-25T13:11:35.457Z""}]",,1.0,,,,,,,,,,,,,,,,https://toloka.yandex.ru/task/8702893/000084cbad--5ddbd2f6b7cf68011f5b407f,000084cbad--5ddbd2f6b7cf68011f5b407f,02a609d8335acea874f2e77a13336296,APPROVED,2019-11-25T13:11:18.524,2019-11-25T13:11:53.121,2019-11-25T13:11:53.121,0.09,8702893,attack,14.04,14.04,,2,0,True,3,1
article,2005,train,0.1,32984901,blocked,"`NEWLINE_TOKENNEWLINE_TOKEN== Wikilings exposed at http://rexcurry.net/wikipedia-lies.html  ==NEWLINE_TOKENNEWLINE_TOKENI had an email exchange with Matt Crypto (the, er, self-proclaimed ``Nobody`` who admits he knows nothing about the topic being discussed -though he improperly deletes it http://rexcurry.net/wikipedialies.html ), asking him to stop spamming his childish comments and spamming his deletions of my Wikipedia posts and to stop emailing me. (He seems to think that Wikipedia is his whole world and is the entire internet, and it is not. Nice. http://rexcurry.net/wikipedia-lies.html ) Anyway, Matt's only response was to make off-topic childish remarks and  here's the genius part  when Matt's own childish remarks (similar to Matt's reply above) are repeated back to Matt in an effort to show Matt his childishness (and to mock Matt) Matt becomes mad and remains clueless.  I suppose Matt thinks that when he does this, he's done something very clever. Sadly, Matt's debating style is much favoured by schoolchildren: make off-topic childish remarks and stalk accurate writers with his ``nah-nee-nah`` voice. It is amusing, though, to see Matt (a grown-up?) do it.  Here are the points that Matt never addresses, does not dispute, but always tries to delete so that other wikipedians will not know: NEWLINE_TOKENNEWLINE_TOKEN 1. Dr. Rex Curry showed that the USA's first Pledge used a straight-arm salute and it was the origin of the salute of the monstrous National Socialist German Workers' Party (Nazis). Professor Curry helped to establish that it was not an ancient Roman salute, and that the ``ancient Roman salute`` is a myth. http://rexcurry.net/pledgesalute.html  NEWLINE_TOKENNEWLINE_TOKEN2. The Pledge began with a military salute that then stretched out toward the flag. Historic photographs are at http://rexcurry.net/pledge2.html and at http://rexcurry.net/pledge_military.html   Due to the way that both gestures were used, the military salute led to the Nazi salute. The Nazi salute is an extended military salute. http://rexcurry.net/book1a1contents-pledge.htmlNEWLINE_TOKENNEWLINE_TOKEN3. Francis Bellamy (author of the ``Pledge of Allegiance``) and Edward Bellamy (author of the novel ``Looking Backward``) and Charles Bellamy (author of ``A Moment of Madness``) were socialists.  Edward and Charles were brothers, and Francis was their cousin. Francis and Edward were both self-proclaimed National Socialists and they supported the ``Nationalism`` movement in the USA, the ``Nationalist`` magazine, the ``Nationalist Educational Association,`` and their dogma of ``military socialism,`` and Edward inspired the ``Nationalist Party`` (in the USA) and their dogma influenced socialists in Germany, and the Pledge was the origin of the Nazi salute.  ``Nazi`` means ``National Socialist German Workers' Party.`` A mnemonic device is the swastika. Although the swastika was an ancient symbol, Professor Curry discovered that it was also used sometimes by German National Socialists to represent ``S`` letters for their ``socialism.``  Hitler altered his own signature to use the same stylized ``S`` letter for ``socialist`` and similar alphabetic symbolism still shows on Volkswagens.  http://rexcurry.net/book1a1contents-swastika.htmlNEWLINE_TOKENNEWLINE_TOKENDr. Curry showed that many modern myths about swastikas rely on a false belief that Nazis called their symbol a ``swastika.``  German National Socialists did not use the word ``swastika,`` but called their symbol a ``Hakenkreuz.``   Professor Curry showed that many modern myths rely on a false belief that Nazis called themselves ``Nazis`` (Party members referred to themselves as ``National Socialists`` and did not use the term ``Nazis``).`",,1.0,,False,0,False,True,1,False,0,0.0,0.1,522,0.0,0-1,1,0.0,d93ad37a-b756-16fa-1f5c-1932af5bbc45,0-1,1474,656,1574687481417,,"{""32984901"":1,""309639840"":1,""389446873"":5}",0,,,,"[{""time"":""2019-11-25T13:11:47.425Z""}]",,1.0,,,,,,,,,,,,,,,,https://toloka.yandex.ru/task/8702893/000084cbad--5ddbd2f6b7cf68011f5b407f,000084cbad--5ddbd2f6b7cf68011f5b407f,02a609d8335acea874f2e77a13336296,APPROVED,2019-11-25T13:11:18.524,2019-11-25T13:11:53.121,2019-11-25T13:11:53.121,0.09,8702893,attack,11.968,11.968,,2,0,True,3,1
article,2010,test,0.6,389446873,blocked,"`NEWLINE_TOKENNEWLINE_TOKEN:No, Charles Edward, you're a troll. You're a troll because rjensen says so. This is wikipedia, and the first person to make a personal accusation wins WP:NAMECALLING. He calls me a troll. I've called him a troll, and he's called me a troll, so we're all trolls. And actually, invoking a status as a 'well-respected, featured content writer and reviewer' is beside the point. I could demonstrate a long posting history under different names and/or a personal career that would knock the socks off most any posters, but that is quite in the wikipedian ideal. Here the logic of your opinions is supposed to be the only thing that matters; this is wikipedia, where anyone can edit. All that being said....NEWLINE_TOKEN:I actually am the only poster in months who has actually proffered a way out of this problem, (note also: I have been vehemently accused of being unconstructive but I'm the one offering suggestions). ``If it said, ``Use of the phrase 'Democrat Party' is an entirely normal vernacular usage in America, although it is a technically incorrect adjective formation. However, some insider commentators in Washington consider the use of the term ``Democrat Party`` as prejorative, since it removes a direct association to the adjective 'democratic'. This theory has no support in reality since the phrase has been in common usage since before the Civil War.`` -And that would be the sum total of the article, and you could add the cites to that. ... 129.133.127.244 (talk) `` -You may disagree with this particular formation, but the correct wikipedia solution is to simply state the ambiguous nature of the claim, (if at all) and leave it at that. That is how it should be solved. NEWLINE_TOKEN:As it stands, this is a violation of NPOV, WP:PRIMARY, and WP:SYNTH among others.  `",1.0,,,True,1,False,True,1,False,0,0.0,0.0,299,0.5,1-1,1,0.1,d93ad37a-b756-16fa-1f5c-1932af5bbc45,1-1,1474,656,1574687481417,,"{""32984901"":1,""309639840"":1,""389446873"":5}",1,,,,"[{""time"":""2019-11-25T13:11:51.217Z""}]",,1.0,,1-1,,,,,,,,,,,,,,https://toloka.yandex.ru/task/8702893/000084cbad--5ddbd2f6b7cf68011f5b407f,000084cbad--5ddbd2f6b7cf68011f5b407f,02a609d8335acea874f2e77a13336296,APPROVED,2019-11-25T13:11:18.524,2019-11-25T13:11:53.121,2019-11-25T13:11:53.121,0.09,8702893,attack,3.792,3.792,,2,0,True,3,5
user,2014,test,0.5555555556,605135817,blocked,"`NEWLINE_TOKEN::You've got to be kidding me. You accuse me of personal attackes when accountless User:172.56.11.26 has now ``suddenly taken an inteterest in articles I was editing``, why is that ? Because they want to harrass me and they have also personally attacked me by making remarks on the Gary Gabelich talk page about the ancestry of the man (I am Yugoslav as is Gabelich). This user who is now personally attacked me via stalking of articles I edited is now using racism to get back at me. A Biographical article is not only about one acheivement, but ones whole life and that includes ancestry. That abusive user 172.56.11.26 is going to sabotage that article to get back at me, and you're protecting him.  he accused me of ``vandalism`` when all I did was make the article conform to Biographical standards and moreover to back me up a higher level editor reverted his reversion of my sensible edit. So who is the real vandal ? - Another contention that I ran into was some want to promote Gary's parents ethnicity above his LSR. He is famous as a world record breaker and not for his ethnicity which likely would of been of little concern in the SOCAL American drag scene of the 1960's. It is included under his personal life. Much information about his family was also added. 172.56.11.26 (talk)   If that's not a personal attack against me disguised as a legitimate edit I dont know what is. PLease delete my account, I am dont with you nasty, dispicable people   `",,1.0,,True,1,True,True,1,False,0,0.11111111109999999,0.11111111109999999,260,0.44444444439999997,1-1,1,0.11111111109999999,04340c6b-1e41-1629-51a1-c4b82069db75,1-1,1536,678,1574687504703,,"{""48845796"":108,""583815986"":0,""605135817"":48}",1,,,,"[{""time"":""2019-11-25T13:12:48.203Z""}]",,2.0,,,,,,,,,,,,,,,,https://toloka.yandex.ru/task/8702893/000084cbad--5ddbd3102f3cb8011c14242b,000084cbad--5ddbd3102f3cb8011c14242b,bad73fee31dd2bc359aab939d8b6529c,APPROVED,2019-11-25T13:11:44.223,2019-11-25T13:14:54.545,2019-11-25T13:14:54.545,0.09,8702893,attack,63.5,63.5,,1,0,True,1,48
