INPUT:pmid,INPUT:title,INPUT:slr_id,INPUT:c1_y_vr,INPUT:is_gold,INPUT:is_main,INPUT:abstract,INPUT:is_train,INPUT:binary_size,INPUT:abstract_size,INPUT:c1_y_baseline,INPUT:c1_y_exergame,INPUT:in_out_radio_gold,INPUT:abstract_charcount,INPUT:abstract_wordcount,INPUT:is_subset_balanced,INPUT:abstract_structured,OUTPUT:worker_uuid,OUTPUT:in_out_radio,OUTPUT:screen_width,OUTPUT:screen_height,OUTPUT:page_started_at,OUTPUT:pb_in_out_radio,OUTPUT:reading_timelog,OUTPUT:pvr_in_out_radio,OUTPUT:pexer_in_out_radio,OUTPUT:pb_judgments_timelog,OUTPUT:pvr_judgments_timelog,OUTPUT:page_started_at_string,OUTPUT:pexer_judgments_timelog,OUTPUT:instructions_reading_time,GOLDEN:worker_uuid,GOLDEN:in_out_radio,GOLDEN:screen_width,GOLDEN:screen_height,GOLDEN:page_started_at,GOLDEN:pb_in_out_radio,GOLDEN:reading_timelog,GOLDEN:pvr_in_out_radio,GOLDEN:pexer_in_out_radio,GOLDEN:pb_judgments_timelog,GOLDEN:pvr_judgments_timelog,GOLDEN:page_started_at_string,GOLDEN:pexer_judgments_timelog,GOLDEN:instructions_reading_time,HINT:text,ASSIGNMENT:link,ASSIGNMENT:assignment_id,ASSIGNMENT:worker_id,ASSIGNMENT:status,ASSIGNMENT:started,ASSIGNMENT:submitted,ASSIGNMENT:accepted,ASSIGNMENT:reward,job_id,condition,decision_time,decision_time_pexer,decision_time_pvr,page_number,included_gold,judgment_correct,max_page,reading_time
31464194,Effects of Full Body Exergaming in Virtual Reality on Cardiovascular and Muscular Parameters: Cross-Sectional Experiment,pubmed,1,1.0,,"BACKGROUND: In recent years, many studies have associated sedentary behavior in front of screens with health problems in infants, children, and adolescents. Yet options for exergaming-playing video games that require rigorous physical exercise-seem to fall short of the physical activity levels recommended by the World Health Organization. OBJECTIVE: The purpose of this study was to investigate the effect of a fully immersive virtual reality (VR)-based training system on cardiovascular and muscular parameters of young adults. METHODS: A cross-sectional experiment design was used to analyze muscle activity (surface electromyography), heart rate, perceived exertion (RPE), cybersickness symptoms, perceived workload, and physical activity enjoyment (PACES) in 33 participants performing two 5-minute flights on a new training device. RESULTS: Participants' performance of the planking position required to play the game resulted in moderate aerobic intensity (108 [SD 18.69] bpm). Due to the mainly isometric contraction of the dorsal muscle chain (with a mean activation between 20.6% [SD 10.57] and 26.7% [SD 17.39] maximum voluntary isometric contraction), participants described the exercise as a moderate to vigorous activity (RPE 14.6 [SD 1.82]). The majority reported that they enjoyed the exercise (PACES 3.74 [SD 0.16]). However, six participants had to drop out because of cybersickness symptoms and two because of muscle pain due to prior injuries. CONCLUSIONS: Our findings suggest that fully immersive VR training systems can contribute to muscle-strengthening activities for healthy users. However, the dropout rate highlights the need for technological improvements in both software and hardware. In prevention and therapy, movement quality is a fundamental part of providing effective resistance training that benefits health. Exergaming on a regular basis has the potential to develop strong muscles and a healthy back. It is essential that future VR-based training systems take into account the recommendations of sport and exercise science. ©Boris Feodoroff, Ippokratis Konstantinidis, Ingo Froböse. Originally published in JMIR Serious Games (http://games.jmir.org), 28.08.2019.",,long,short,1,1,1-1,2203,308,1,True,a2688304-3ef5-3c38-2e06-5b7abb7703f4,1-1,360,384,1570969601592,,"{""23388087"":1,""25448245"":20,""31464194"":32}",,1,,,,"[{""time"":""2019-10-13T12:27:28.542Z""}]",5.0,,1-1,,,,,,,,,,,,,,https://toloka.yandex.ru/task/7642332/0000749cdc--5da317fe4c8219010d97d54b,0000749cdc--5da317fe4c8219010d97d54b,cb9e531a4be6ec13714e22a001f0ae56,APPROVED,2019-10-13T12:26:38.777,2019-10-13T12:28:30.934,2019-10-13T12:28:30.934,0.15,7642332,fine-grained-one-exergame,46.95,46.95,,1,1,True,6,32
25448245,"Effectiveness, usability, and cost-benefit of a virtual reality-based telerehabilitation program for balance recovery after stroke: a randomized controlled trial.",molina-2014,0,,1.0,"OBJECTIVES: First, to evaluate the clinical effectiveness of a virtual reality (VR)-based telerehabilitation program in the balance recovery of individuals with hemiparesis after stroke in comparison with an in-clinic program; second, to compare the subjective experiences; and third, to contrast the costs of both programs. DESIGN: Single-blind, randomized, controlled trial. SETTING: Neurorehabilitation unit. PARTICIPANTS: Chronic outpatients with stroke (N=30) with residual hemiparesis. INTERVENTIONS: Twenty 45-minute training sessions with the telerehabilitation system, conducted 3 times a week, in the clinic or in the home. MAIN OUTCOME MEASURES: First, Berg Balance Scale for balance assessment. The Performance-Oriented Mobility Assessment balance and gait subscales, and the Brunel Balance Assessment were secondary outcome measures. Clinical assessments were conducted at baseline, 8 weeks (posttreatment), and 12 weeks (follow-up). Second, the System Usability Scale and the Intrinsic Motivation Inventory for subjective experiences. Third, cost (in dollars). RESULTS: Significant improvement in both groups (in-clinic group [control] and a home-based telerehabilitation group) from the initial to the final assessment in the Berg Balance Scale (��p(2)=.68; P=.001), in the balance (��p(2)=.24; P=.006) and gait (��p(2)=.57, P=.001) subscales of the Tinetti Performance-Oriented Mobility Assessment, and in the Brunel Balance Assessment (control: ��(2)=15.0; P=.002; experimental: ��(2)=21.9; P=.001). No significant differences were found between the groups in any balance scale or in the feedback questionnaires. With regard to subjective experiences, both groups considered the VR system similarly usable and motivating. The in-clinic intervention resulted in more expenses than did the telerehabilitation intervention ($654.72 per person). CONCLUSIONS: First, VR-based telerehabilitation interventions can promote the reacquisition of locomotor skills associated with balance in the same way as do in-clinic interventions, both complemented with a conventional therapy program; second, the usability of and motivation to use the 2 interventions can be similar; and third, telerehabilitation interventions can involve savings that vary depending on each scenario. Copyright �� 2015 American Congress of Rehabilitation Medicine. Published by Elsevier Inc. All rights reserved.",,long,short,0,0,0-0,2387,418,1,True,a2688304-3ef5-3c38-2e06-5b7abb7703f4,0-0,360,384,1570969601592,,"{""23388087"":1,""25448245"":20,""31464194"":32}",,0,,,,"[{""time"":""2019-10-13T12:27:58.187Z""}]",5.0,,,,,,,,,,,,,,,,https://toloka.yandex.ru/task/7642332/0000749cdc--5da317fe4c8219010d97d54b,0000749cdc--5da317fe4c8219010d97d54b,cb9e531a4be6ec13714e22a001f0ae56,APPROVED,2019-10-13T12:26:38.777,2019-10-13T12:28:30.934,2019-10-13T12:28:30.934,0.15,7642332,fine-grained-one-exergame,29.645,29.645,,1,0,True,6,20
23388087,V-TIME: a treadmill training program augmented by virtual reality to decrease fall risk in older adults: study design of a randomized controlled trial.,kelly-2018,1,,1.0,"BACKGROUND: Recent work has demonstrated that fall risk can be attributed to cognitive as well as motor deficits. Indeed, everyday walking in complex environments utilizes executive function, dual tasking, planning and scanning, all while walking forward. Pilot studies suggest that a multi-modal intervention that combines treadmill training to target motor function and a virtual reality obstacle course to address the cognitive components of fall risk may be used to successfully address the motor-cognitive interactions that are fundamental for fall risk reduction. The proposed randomized controlled trial will evaluate the effects of treadmill training augmented with virtual reality on fall risk. METHODS/DESIGN: Three hundred older adults with a history of falls will be recruited to participate in this study. This will include older adults (n=100), patients with mild cognitive impairment (n=100), and patients with Parkinson's disease (n=100). These three sub-groups will be recruited in order to evaluate the effects of the intervention in people with a range of motor and cognitive deficits. Subjects will be randomly assigned to the intervention group (treadmill training with virtual reality) or to the active-control group (treadmill training without virtual reality). Each person will participate in a training program set in an outpatient setting 3 times per week for 6 weeks. Assessments will take place before, after, and 1 month and 6 months after the completion of the training. A falls calendar will be kept by each participant for 6 months after completing the training to assess fall incidence (i.e., the number of falls, multiple falls and falls rate). In addition, we will measure gait under usual and dual task conditions, balance, community mobility, health related quality of life, user satisfaction and cognitive function. DISCUSSION: This randomized controlled trial will demonstrate the extent to which an intervention that combines treadmill training augmented by virtual reality reduces fall risk, improves mobility and enhances cognitive function in a diverse group of older adults. In addition, the comparison to an active control group that undergoes treadmill training without virtual reality will provide evidence as to the added value of addressing motor cognitive interactions as an integrated unit. TRIAL REGISTRATION: (NIH)-NCT01732653.",,long,short,0,0,0-1,2380,403,1,True,a2688304-3ef5-3c38-2e06-5b7abb7703f4,0-1,360,384,1570969601592,,"{""23388087"":1,""25448245"":20,""31464194"":32}",,0,,,,"[{""time"":""2019-10-13T12:28:29.376Z""}]",5.0,,,,,,,,,,,,,,,,https://toloka.yandex.ru/task/7642332/0000749cdc--5da317fe4c8219010d97d54b,0000749cdc--5da317fe4c8219010d97d54b,cb9e531a4be6ec13714e22a001f0ae56,APPROVED,2019-10-13T12:26:38.777,2019-10-13T12:28:30.934,2019-10-13T12:28:30.934,0.15,7642332,fine-grained-one-exergame,31.189,31.189,,1,0,True,6,1
1003,Effects of substituting a portion of standard physiotherapy time with virtual reality games among community-dwelling stroke survivors,howard-2017,1,1.0,,"Background. Evidence indicates that the continuation of therapy among community-dwelling stroke survivors improves physical function. Community rehabilitation programmes often face limitations in terms of resources. It is imperative to include new motivational interventions to encourage some level of non-clinician management. The aim of this study was to determine whether there were any changes in physical function and activities of daily living when substituting a portion of the standard physiotherapy time with virtual reality games among community-dwelling stroke survivors. Methods. In this controlled trial, the experimental group received 30 minutes of virtual reality balance games in addition to 90 minutes of standard physiotherapy. The control group continued with their two hours of routine standard physiotherapy. Both groups received 12 therapy sessions: two-hour sessions twice per week for six continuous weeks. Changes in physical function, activities of daily living and balance ability were assessed using the Timed Up and Go test, 30-second Sit to Stand test, Timed Ten-Metre Walk test, Six-Minute Walk test and the Barthel Index, and static balance was assessed using a probalance board. Results. Twenty-eight participants completed post-intervention assessments. The results showed a significant within-subject effect on the Timed Up and Go test: F (1, 26) = 5.83, p = 0.02; and the 30-second Sit to Stand test; F (1, 26) = 13.50, p = 0.001. The between-subject effect was not significant (p > 0.05) for any of the outcome measurements. Conclusion. Substituting a portion of the standard physiotherapy time with virtual reality games was equally effective in maintaining physical function outcomes and activities of daily living among community-dwelling stroke survivors. Trial Registration. Australia and New Zealand Clinical Trials Register, ACTRN12613000478718.",,long,short,1,1,1-1,1890,253,1,True,675e459a-5d4c-5472-ae27-7ca0539bef2a,1-1,1440,677,1570969616256,,"{""1003"":11,""23388087"":10,""25448245"":24}",,1,,,,"[{""time"":""2019-10-13T12:27:07.251Z""}]",7.0,,1-1,,,,,,,,,,,,,,https://toloka.yandex.ru/task/7642332/0000749cdc--5da3180d4c8219010d97d6e7,0000749cdc--5da3180d4c8219010d97d6e7,661f1581541cba5a0803320c64f2801f,APPROVED,2019-10-13T12:26:53.269,2019-10-13T12:27:59.863,2019-10-13T12:27:59.863,0.15,7642332,fine-grained-one-exergame,10.995,10.995,,1,1,True,6,11
23388087,V-TIME: a treadmill training program augmented by virtual reality to decrease fall risk in older adults: study design of a randomized controlled trial.,kelly-2018,1,,1.0,"BACKGROUND: Recent work has demonstrated that fall risk can be attributed to cognitive as well as motor deficits. Indeed, everyday walking in complex environments utilizes executive function, dual tasking, planning and scanning, all while walking forward. Pilot studies suggest that a multi-modal intervention that combines treadmill training to target motor function and a virtual reality obstacle course to address the cognitive components of fall risk may be used to successfully address the motor-cognitive interactions that are fundamental for fall risk reduction. The proposed randomized controlled trial will evaluate the effects of treadmill training augmented with virtual reality on fall risk. METHODS/DESIGN: Three hundred older adults with a history of falls will be recruited to participate in this study. This will include older adults (n=100), patients with mild cognitive impairment (n=100), and patients with Parkinson's disease (n=100). These three sub-groups will be recruited in order to evaluate the effects of the intervention in people with a range of motor and cognitive deficits. Subjects will be randomly assigned to the intervention group (treadmill training with virtual reality) or to the active-control group (treadmill training without virtual reality). Each person will participate in a training program set in an outpatient setting 3 times per week for 6 weeks. Assessments will take place before, after, and 1 month and 6 months after the completion of the training. A falls calendar will be kept by each participant for 6 months after completing the training to assess fall incidence (i.e., the number of falls, multiple falls and falls rate). In addition, we will measure gait under usual and dual task conditions, balance, community mobility, health related quality of life, user satisfaction and cognitive function. DISCUSSION: This randomized controlled trial will demonstrate the extent to which an intervention that combines treadmill training augmented by virtual reality reduces fall risk, improves mobility and enhances cognitive function in a diverse group of older adults. In addition, the comparison to an active control group that undergoes treadmill training without virtual reality will provide evidence as to the added value of addressing motor cognitive interactions as an integrated unit. TRIAL REGISTRATION: (NIH)-NCT01732653.",,long,short,0,0,0-1,2380,403,1,True,675e459a-5d4c-5472-ae27-7ca0539bef2a,x-x,1440,677,1570969616256,,"{""1003"":11,""23388087"":10,""25448245"":24}",,1,,,,"[{""time"":""2019-10-13T12:27:13.743Z""}]",7.0,,,,,,,,,,,,,,,,https://toloka.yandex.ru/task/7642332/0000749cdc--5da3180d4c8219010d97d6e7,0000749cdc--5da3180d4c8219010d97d6e7,661f1581541cba5a0803320c64f2801f,APPROVED,2019-10-13T12:26:53.269,2019-10-13T12:27:59.863,2019-10-13T12:27:59.863,0.15,7642332,fine-grained-one-exergame,6.492,6.492,,1,0,False,6,10
25448245,"Effectiveness, usability, and cost-benefit of a virtual reality-based telerehabilitation program for balance recovery after stroke: a randomized controlled trial.",molina-2014,0,,1.0,"OBJECTIVES: First, to evaluate the clinical effectiveness of a virtual reality (VR)-based telerehabilitation program in the balance recovery of individuals with hemiparesis after stroke in comparison with an in-clinic program; second, to compare the subjective experiences; and third, to contrast the costs of both programs. DESIGN: Single-blind, randomized, controlled trial. SETTING: Neurorehabilitation unit. PARTICIPANTS: Chronic outpatients with stroke (N=30) with residual hemiparesis. INTERVENTIONS: Twenty 45-minute training sessions with the telerehabilitation system, conducted 3 times a week, in the clinic or in the home. MAIN OUTCOME MEASURES: First, Berg Balance Scale for balance assessment. The Performance-Oriented Mobility Assessment balance and gait subscales, and the Brunel Balance Assessment were secondary outcome measures. Clinical assessments were conducted at baseline, 8 weeks (posttreatment), and 12 weeks (follow-up). Second, the System Usability Scale and the Intrinsic Motivation Inventory for subjective experiences. Third, cost (in dollars). RESULTS: Significant improvement in both groups (in-clinic group [control] and a home-based telerehabilitation group) from the initial to the final assessment in the Berg Balance Scale (��p(2)=.68; P=.001), in the balance (��p(2)=.24; P=.006) and gait (��p(2)=.57, P=.001) subscales of the Tinetti Performance-Oriented Mobility Assessment, and in the Brunel Balance Assessment (control: ��(2)=15.0; P=.002; experimental: ��(2)=21.9; P=.001). No significant differences were found between the groups in any balance scale or in the feedback questionnaires. With regard to subjective experiences, both groups considered the VR system similarly usable and motivating. The in-clinic intervention resulted in more expenses than did the telerehabilitation intervention ($654.72 per person). CONCLUSIONS: First, VR-based telerehabilitation interventions can promote the reacquisition of locomotor skills associated with balance in the same way as do in-clinic interventions, both complemented with a conventional therapy program; second, the usability of and motivation to use the 2 interventions can be similar; and third, telerehabilitation interventions can involve savings that vary depending on each scenario. Copyright �� 2015 American Congress of Rehabilitation Medicine. Published by Elsevier Inc. All rights reserved.",,long,short,0,0,0-0,2387,418,1,True,675e459a-5d4c-5472-ae27-7ca0539bef2a,x-x,1440,677,1570969616256,,"{""1003"":11,""23388087"":10,""25448245"":24}",,1,,,,"[{""time"":""2019-10-13T12:28:00.935Z""}]",7.0,,,,,,,,,,,,,,,,https://toloka.yandex.ru/task/7642332/0000749cdc--5da3180d4c8219010d97d6e7,0000749cdc--5da3180d4c8219010d97d6e7,661f1581541cba5a0803320c64f2801f,APPROVED,2019-10-13T12:26:53.269,2019-10-13T12:27:59.863,2019-10-13T12:27:59.863,0.15,7642332,fine-grained-one-exergame,47.192,47.192,,1,0,False,6,24
23501585,Prescription errors in older individuals with an intellectual disability: prevalence and risk factors in the Healthy Ageing and Intellectual Disability Study.,kelly-2018,0,,1.0,"Prescribing pharmacotherapy for older individuals with an intellectual disability (ID) is a complex process, possibly leading to an increased risk of prescription errors. The objectives of this study were (1) to determine the prevalence of older individuals with an intellectual disability with at least one prescription error and (2) to identify potential risk factors for these prescription errors (age, gender, body mass index (BMI), frailty index, level of intellectual disability and living situation). The study population consisted of 600 older (≥ 50 years) individuals with an ID using one or more drugs who were randomly selected from the study cohort of the Healthy Ageing and Intellectual Disability (HA-ID) Study. The medication used at the time of measurement was screened for errors by a hospital pharmacist/clinical pharmacologist and a Master's student pharmacy using consensus methodology. Participants with one or more prescription errors were compared to participants without prescription errors by multivariate logistic regression to identify potential risk factors. The prevalence of individuals with one or more prescription errors was 47.5% (285 of 600 individuals; 95% confidence interval (CI) 43-52%). Relevant errors, defined as errors that actually do require a change of pharmacotherapy, were identified in 26.8% of the individuals (161 of 600 individuals; 95% CI 23-30%). Higher age (adjusted odds ratio (OR adj) 1.03; 95% CI 1.01-1.06), less severe intellectual disability (moderate: OR adj 0.48; 95% CI 0.31-0.74 and severe: OR adj 0.56; 95% CI 0.32-0.98), higher BMI (OR adj 1.04; 95% CI 1.01-1.08), higher frailty index (0.39-0.54: OR adj 2.4; 95% CI 1.21-4.77 and ≥ 0.55: OR adj 3.4; 95% CI 1.03-11.02), polypharmacy (OR adj 8.06; 95% CI 5.59-11.62) and use of medicines acting on the central nervous system (OR adj 3.34; 95% CI 2.35-4.73) were independently associated with the occurrence of prescription errors. Interventions targeted to high risk patients should be designed and implemented to improve pharmacotherapy in older individuals with an intellectual disability. Copyright © 2013 Elsevier Ltd. All rights reserved.",,long,long,0,0,0-0,2160,407,1,False,675e459a-5d4c-5472-ae27-7ca0539bef2a,0-0,1440,677,1570969683836,,"{""17584501"":34,""23501585"":18,""26925955"":60}",,0,,,,"[{""time"":""2019-10-13T12:28:17.559Z""}]",1.0,,,,,,,,,,,,,,,,https://toloka.yandex.ru/task/7642332/0000749cdc--5da318502bdcab012102fbba,0000749cdc--5da318502bdcab012102fbba,661f1581541cba5a0803320c64f2801f,APPROVED,2019-10-13T12:28:00.630,2019-10-13T12:30:03.055,2019-10-13T12:30:03.055,0.15,7642332,fine-grained-one-exergame,13.723,13.723,,2,0,True,6,18
17584501,Aging and selective sensorimotor strategies in the regulation of upright balance.,molina-2014,1,1.0,,"BACKGROUND: The maintenance of upright equilibrium is essentially a sensorimotor integration task. The central nervous system (CNS) has to generate appropriate and complex motor responses based on the selective and rapid integration of sensory information from multiple sources. Since each sensory system has its own coordinate framework, specific time delay and reliability, sensory conflicts may arise and represent situations in which the CNS has to recalibrate the weight attributed to each particular sensory input. The resolution of sensory conflicts may represent a particular challenge for older adults given the age-related decline in the integrity of many postural regulating systems, including musculoskeletal and sensory systems, as well as neural processing and conduction of information. The effects of aging and adaptation (by repeated exposures) on the capability of the CNS to select pertinent sensory information and resolve sensory conflicts were thus investigated with virtual reality (VR) in the present study. METHODS: Healthy young and older adults maintained quiet stance while immersed in a virtual environment (VE) for 1 hour during which transient visual and/or surface perturbations were randomly presented. Visual perturbations were induced by sudden pitch or roll plane tilts of the VE viewed through a helmet-mounted display, and combined with or without surface perturbations presented in a direction that was either identical or opposite to the visual perturbations. RESULTS: Results showed a profound influence of aging on postural adjustments measured by electromyographic (EMG) responses and displacements of the center of pressure (COP) and body's center of mass (COM) in the recovery of upright stance, especially in the presence of sensory conflicts. Older adults relied more on vision as compared to young adults. Aging affects the interaction of the somatosensory and visual systems on the control of equilibrium during standing and the ability of CNS to resolve sensory conflicts. However, even with a one-hour immersion in VE and exposure to sensory conflicts, it is possible for the CNS to recalibrate and adapt to the changes, while improving balance capability in older adults. CONCLUSION: Preventive and rehabilitation programs targeting postural control in older adults should take into account the possible impairment of sensory organization or sensorimotor integration and include VE training under conditions of sensory conflicts.",,long,long,0,0,0-1,2481,403,1,True,675e459a-5d4c-5472-ae27-7ca0539bef2a,0-1,1440,677,1570969683836,,"{""17584501"":34,""23501585"":18,""26925955"":60}",,0,,,,"[{""time"":""2019-10-13T12:28:31.207Z""}]",1.0,,0-1,,,,,,,,,,,,,,https://toloka.yandex.ru/task/7642332/0000749cdc--5da318502bdcab012102fbba,0000749cdc--5da318502bdcab012102fbba,661f1581541cba5a0803320c64f2801f,APPROVED,2019-10-13T12:28:00.630,2019-10-13T12:30:03.055,2019-10-13T12:30:03.055,0.15,7642332,fine-grained-one-exergame,13.648,13.648,,2,0,True,6,34
26925955,The effect of balance training on postural control in people with multiple sclerosis using the CAREN virtual reality system: a pilot randomized controlled trial.,molina-2014,1,,1.0,"BACKGROUND: Multiple sclerosis (MS) is a multi-focal progressive disorder of the central nervous system often resulting in diverse clinical manifestations. Imbalance appears in most people with multiple sclerosis (PwMS). A popular balance training tool is virtual reality (VR) with several advantages including increased compliance and user satisfaction. Therefore, the aim of this pilot RCT (Trial registration number, date: ISRCTN14425615, 21/01/2016) was to examine the efficacy of a 6-week VR balance training program using the computer assisted rehabilitation environment (CAREN) system (Motek Medical BV, Amsterdam, Netherlands) on balance measures in PwMS. Results were compared with those of a conventional balance exercise group. Secondary aims included the impact of this program on the fear of falling. METHODS: Thirty-two PwMS were equally randomized into the VR intervention group or the control group. Each group received balance training sessions for 6 consecutive weeks, two sessions per week, 30��min sessions. Clinical balance tests and instrumented posturography outcome measures were collected upon initiation of the intervention programs and at termination. RESULTS: Final analysis included 30 patients (19 females, 11 males; mean age, (S.D.)���=���45.2 (11.6) years; mean EDSS (S.D.)���=���4.1 (1.3), mean disease duration (S.D.)���=���11.0 (8.9) years). Both groups showed a main effect of time on the center of pressure (CoP) path length with eyes open (F���=���5.278, P���=���.024), sway rate with eyes open (F���=���5.852, P���=���.035), Functional Reach Test (F���=���20.841, P���=���.001), Four Square Step Test (F���=���9.011, P���=���.031) and the Fear of Falls self-reported questionnaire (F���=���17.815, P���=���.023). In addition, significant differences in favor of the VR program were observed for the group x time interactions of the Functional Reach Test (F���=���10.173, P���=���.009) and fear of falling (F���=���6.710, P���=���.021). CONCLUSIONS: We demonstrated that balance training based on the CAREN device is an effective method of balance training for PwMS.",,long,medium,0,0,0-1,2035,409,1,True,675e459a-5d4c-5472-ae27-7ca0539bef2a,x-x,1440,677,1570969683836,,"{""17584501"":34,""23501585"":18,""26925955"":60}",,1,,,,"[{""time"":""2019-10-13T12:29:26.655Z""}]",1.0,,,,,,,,,,,,,,,,https://toloka.yandex.ru/task/7642332/0000749cdc--5da318502bdcab012102fbba,0000749cdc--5da318502bdcab012102fbba,661f1581541cba5a0803320c64f2801f,APPROVED,2019-10-13T12:28:00.630,2019-10-13T12:30:03.055,2019-10-13T12:30:03.055,0.15,7642332,fine-grained-one-exergame,55.448,55.448,,2,0,False,6,60
23388087,V-TIME: a treadmill training program augmented by virtual reality to decrease fall risk in older adults: study design of a randomized controlled trial.,kelly-2018,1,,1.0,"BACKGROUND: Recent work has demonstrated that fall risk can be attributed to cognitive as well as motor deficits. Indeed, everyday walking in complex environments utilizes executive function, dual tasking, planning and scanning, all while walking forward. Pilot studies suggest that a multi-modal intervention that combines treadmill training to target motor function and a virtual reality obstacle course to address the cognitive components of fall risk may be used to successfully address the motor-cognitive interactions that are fundamental for fall risk reduction. The proposed randomized controlled trial will evaluate the effects of treadmill training augmented with virtual reality on fall risk. METHODS/DESIGN: Three hundred older adults with a history of falls will be recruited to participate in this study. This will include older adults (n=100), patients with mild cognitive impairment (n=100), and patients with Parkinson's disease (n=100). These three sub-groups will be recruited in order to evaluate the effects of the intervention in people with a range of motor and cognitive deficits. Subjects will be randomly assigned to the intervention group (treadmill training with virtual reality) or to the active-control group (treadmill training without virtual reality). Each person will participate in a training program set in an outpatient setting 3 times per week for 6 weeks. Assessments will take place before, after, and 1 month and 6 months after the completion of the training. A falls calendar will be kept by each participant for 6 months after completing the training to assess fall incidence (i.e., the number of falls, multiple falls and falls rate). In addition, we will measure gait under usual and dual task conditions, balance, community mobility, health related quality of life, user satisfaction and cognitive function. DISCUSSION: This randomized controlled trial will demonstrate the extent to which an intervention that combines treadmill training augmented by virtual reality reduces fall risk, improves mobility and enhances cognitive function in a diverse group of older adults. In addition, the comparison to an active control group that undergoes treadmill training without virtual reality will provide evidence as to the added value of addressing motor cognitive interactions as an integrated unit. TRIAL REGISTRATION: (NIH)-NCT01732653.",,long,short,0,0,0-1,2380,403,1,True,6244c1b2-d607-ced0-7044-7ff46c9f91d8,x-x,1440,677,1570969687219,,"{""23388087"":93,""25448245"":57,""29142090"":98}",,1,,,,"[{""time"":""2019-10-13T12:28:57.066Z""},{""time"":""2019-10-13T12:29:03.401Z""},{""time"":""2019-10-13T12:31:35.401Z""},{""time"":""2019-10-13T12:32:01.282Z""},{""time"":""2019-10-13T12:33:48.017Z""}]",23.0,,,,,,,,,,,,,,,,https://toloka.yandex.ru/task/7642332/0000749cdc--5da318552bdcab012102fc0a,0000749cdc--5da318552bdcab012102fc0a,031b46ddd64f000dc2f9b6a56134f5a9,APPROVED,2019-10-13T12:28:05.575,2019-10-13T12:34:45.388,2019-10-13T12:34:45.388,0.15,7642332,fine-grained-one-exergame,83.696,83.696,,1,0,False,1,93
