INPUT:pmid,INPUT:title,INPUT:slr_id,INPUT:c1_y_vr,INPUT:is_gold,INPUT:is_main,INPUT:abstract,INPUT:is_train,INPUT:binary_size,INPUT:abstract_size,INPUT:c1_y_baseline,INPUT:c1_y_exergame,INPUT:in_out_radio_gold,INPUT:abstract_charcount,INPUT:abstract_wordcount,INPUT:is_subset_balanced,INPUT:abstract_structured,OUTPUT:worker_uuid,OUTPUT:in_out_radio,OUTPUT:screen_width,OUTPUT:screen_height,OUTPUT:page_started_at,OUTPUT:pb_in_out_radio,OUTPUT:reading_timelog,OUTPUT:pvr_in_out_radio,OUTPUT:pexer_in_out_radio,OUTPUT:pb_judgments_timelog,OUTPUT:pvr_judgments_timelog,OUTPUT:page_started_at_string,OUTPUT:pexer_judgments_timelog,OUTPUT:instructions_reading_time,GOLDEN:worker_uuid,GOLDEN:in_out_radio,GOLDEN:screen_width,GOLDEN:screen_height,GOLDEN:page_started_at,GOLDEN:pb_in_out_radio,GOLDEN:reading_timelog,GOLDEN:pvr_in_out_radio,GOLDEN:pexer_in_out_radio,GOLDEN:pb_judgments_timelog,GOLDEN:pvr_judgments_timelog,GOLDEN:page_started_at_string,GOLDEN:pexer_judgments_timelog,GOLDEN:instructions_reading_time,HINT:text,ASSIGNMENT:link,ASSIGNMENT:assignment_id,ASSIGNMENT:worker_id,ASSIGNMENT:status,ASSIGNMENT:started,ASSIGNMENT:submitted,ASSIGNMENT:accepted,ASSIGNMENT:reward,job_id,condition,decision_time,decision_time_pexer,decision_time_pvr,page_number,included_gold,judgment_correct,max_page,reading_time
22976384,Virtual-reality balance training with a video-game system improves dynamic balance in chronic stroke patients.,molina-2014,1,,1.0,"Stroke is one of the most serious healthcare problems and a major cause of impairment of cognition and physical functions. Virtual rehabilitation approaches to postural control have been used for enhancing functional recovery that may lead to a decrease in the risk of falling. In the present study, we investigated the effects of virtual reality balance training (VRBT) with a balance board game system on balance of chronic stroke patients. Participants were randomly assigned to 2 groups: VRBT group (11 subjects including 3 women, 65.26 years old) and control group (11 subjects including 5 women, 63.13 years old). Both groups participated in a standard rehabilitation program (physical and occupational therapy) for 60 min a day, 5 times a week for 6 weeks. In addition, the VRBT group participated in VRBT for 30 min a day, 3 times a week for 6 weeks. Static balance (postural sway velocity with eyes open or closed) was evaluated with the posturography. Dynamic balance was evaluated with the Berg Balance Scale (BBS) and Timed Up and Go test (TUG) that measures balance and mobility in dynamic balance. There was greater improvement on BBS (4.00 vs. 2.81 scores) and TUG (-1.33 vs. -0.52 sec) in the VRBT group compared with the control group (P < 0.05), but not on static balance in both groups. In conclusion, we demonstrate a significant improvement in dynamic balance in chronic stroke patients with VRBT. VRBT is feasible and suitable for chronic stroke patients with balance deficit in clinical settings.",,long,medium,1,1,1-1,1519,289,1,False,408b0221-747e-b565-5c58-12761ffd39ab,1-1,1920,889,1570969395494,,"{""18667809"":15,""22976384"":14,""30305852"":5}",1,,,"[{""time"":""2019-10-13T12:23:40.609Z""}]",,,1.0,,,,,,,,,,,,,,,,https://toloka.yandex.ru/task/7642406/0000749d26--5da3172a942cf6010ef46907,0000749d26--5da3172a942cf6010ef46907,1135a7e486f9ddb6d842caa98b11b3c5,APPROVED,2019-10-13T12:23:06.247,2019-10-13T12:23:47.197,2019-10-13T12:23:47.197,0.15,7642406,fine-grained-one-vr,25.115,,25.115,1,1,True,2,14
18667809,Virtual rehabilitation in an activity centre for community-dwelling persons with stroke. The possibilities of 3-dimensional computer games.,molina-2014,1,1.0,,"BACKGROUND: The main purpose of this study was to place a virtual reality (VR) system, designed to assess and to promote motor performance in the affected upper extremity in subjects after stroke, in a nonhospital environment. We also wanted to investigate if playing computer games resulted in improved motor function in persons with prior stroke. METHODS: The intervention involved 11 patients after stroke who received extra rehabilitation by training on a computer 3 times a week during a 4-week period. The control group involved 11 patients after stroke who continued their previous rehabilitation (no extra computer training) during this period. The mean age of all was 68 years (range = 47-85) and the average time after stroke 66 months (range = 15-140). The VR training consisted of challenging games, which provided a range of difficulty levels that allow practice to be fun and motivating. An additional group of 11 right-handed aged matched individuals without history of neurological or psychiatric illnesses served as reference subjects. RESULTS: All the participants reported that they were novel computer game players. After an initial introduction they learned to use the VR system quickly. The treatment group demonstrated improvements in motor outcome for the trained upper extremity, but this was not detected in real-life activities. CONCLUSIONS: The results of this research suggest the usefulness of computer games in training motor performance. VR can be used beneficially not only by younger participants but also by older persons to enhance their motor performance after stroke. Copyright  2008 S. Karger AG, Basel.",,long,medium,1,1,1-1,1642,283,1,True,408b0221-747e-b565-5c58-12761ffd39ab,1-1,1920,889,1570969395494,,"{""18667809"":15,""22976384"":14,""30305852"":5}",1,,,"[{""time"":""2019-10-13T12:23:48.476Z""}]",,,1.0,,1-1,,,,,,,,,,,,,,https://toloka.yandex.ru/task/7642406/0000749d26--5da3172a942cf6010ef46907,0000749d26--5da3172a942cf6010ef46907,1135a7e486f9ddb6d842caa98b11b3c5,APPROVED,2019-10-13T12:23:06.247,2019-10-13T12:23:47.197,2019-10-13T12:23:47.197,0.15,7642406,fine-grained-one-vr,7.867,,7.867,1,1,True,2,15
30305852,"Effects of physical, virtual reality-based, and brain exercise on physical, cognition, and preference in older persons: a randomized controlled trial.",kelly-2018,1,,1.0,"Background: Physical exercise (PE), virtual reality-based exercise (VRE), and brain exercise (BE) can influence physical and cognitive conditions in older persons. However, it is not known which of the three types of exercises provide the best effects on physical and cognitive status, and which exercise is preferred by older persons. This study compared the effects of PE, VRE, and BE on balance, muscle strength, cognition, and fall concern. In addition, exercise effort perception and contentment in older persons was evaluated. Methods: Eighty-four older persons (n = 84) were randomly selected for PE, VRE, BE, and control groups. The exercise groups received 8-week training, whereas the control group did not. Balance was assessed by Berg Balance Scale (BBS) and Timed Up and Go test (TUG), muscle strength by 5 Times Sit to Stand (5TSTS) and left and right hand grip strength (HGS), cognition by Montreal Cognitive Assessment (MoCA) and Timed Up and Go test Cognition (TUG-cog), fall concern by Fall Efficacy Scale International (FES-I), exercise effort perception by Borg category ratio scale (Borg CR-10), and exercise contentment by a questionnaire. Results: After exercise, PE significantly enhanced TUG and 5TSTS to a greater extent than VRE (TUG; p = 0.004, 5TSTS; p = 0.027) and BE (TUG; p = 0,012, 5TSTS; p < 0.001). VRE significantly improved MoCA (p < 0.001) and FES-I (p = 0.036) compared to PE, and 5TSTS (p < 0.001) and FES-I (p = 0.011) were improved relative to BE. MoCA was significantly enhanced by BE compared to PE (p < 0.001) and both MoCA and TUG-cog were improved compared to VRE (p = 0.04). PE and VRE significantly (p < 0.001) increased Borg CR-10 in all exercise sessions, whereas BE showed a significant improvement (p < 0.001) in the first 4 sessions. Participants had a significantly greater satisfaction with BE than controls (p = 0.006), and enjoyed VRE and BE more than PE (p < 0.001). Subjects in all exercise groups exhibited benefits compared to the control group (p < 0.001). Conclusions: PE provided the best results in physical tests, VRE produced measurable improvements in physical and cognition scores, while BE enhanced cognition ability in older persons. Older persons preferred VRE and BE compared to PE. Both exercises are suggested to older persons to improve physical and cognitive conditions.",,long,short,0,0,0-1,2348,483,1,True,408b0221-747e-b565-5c58-12761ffd39ab,0-1,1920,889,1570969395494,,"{""18667809"":15,""22976384"":14,""30305852"":5}",1,,,"[{""time"":""2019-10-13T12:23:53.585Z""}]",,,1.0,,,,,,,,,,,,,,,,https://toloka.yandex.ru/task/7642406/0000749d26--5da3172a942cf6010ef46907,0000749d26--5da3172a942cf6010ef46907,1135a7e486f9ddb6d842caa98b11b3c5,APPROVED,2019-10-13T12:23:06.247,2019-10-13T12:23:47.197,2019-10-13T12:23:47.197,0.15,7642406,fine-grained-one-vr,5.109,,5.109,1,0,True,2,5
24239790,Combination transcranial direct current stimulation and virtual reality therapy for upper extremity training in patients with subacute stroke.,molina-2014,1,,1.0,"OBJECTIVE: To investigate the effects of combination cathodal transcranial direct current stimulation (tDCS) and virtual reality (VR) therapy for upper extremity (UE) training in patients with subacute stroke. DESIGN: Pilot randomized controlled trial. Patients were randomly assigned to 1 of 3 groups: group A received cathodal tDCS, group B received VR, and group C received combination therapy (cathodal tDCS was simultaneously applied during VR therapy). SETTING: University hospital. PARTICIPANTS: Patients (N=59) with impaired unilateral UE motor function after stroke. INTERVENTION: Fifteen sessions of treatment over a 3-week period. MAIN OUTCOME MEASURES: The Modified Ashworth Scale, manual muscle test (MMT), Manual Function Test (MFT), Fugl-Meyer Scale (FMS), and Box and Block Test were used to assess UE function. To evaluate activities of daily living, the Korean-Modified Barthel Index (K-MBI) was used. All outcomes were measured before and immediately after treatment. RESULTS: After treatment, all groups demonstrated significant improvements in MMT, MFT, FMS, and K-MBI scores. The change in MFT and FMS scores was different between the 3 groups. Post hoc analysis revealed that the improvement of MFT and FMS scores in group C was significantly higher than those of the other 2 groups. CONCLUSIONS: In the present pilot study, the combination of brain stimulation using tDCS and peripheral arm training using VR could facilitate a stronger beneficial effect on UE impairment than using each intervention alone. This combination therapy might be a helpful method to enhance recovery of the paretic UE in patients with stroke. Copyright �� 2014 American Congress of Rehabilitation Medicine. Published by Elsevier Inc. All rights reserved.",,long,medium,0,0,0-1,1756,314,1,True,408b0221-747e-b565-5c58-12761ffd39ab,0-1,1920,889,1570969436870,,"{""24239790"":35,""26335108"":17,""29780318"":10}",1,,,"[{""time"":""2019-10-13T12:24:30.990Z""}]",,,1.0,,,,,,,,,,,,,,,,https://toloka.yandex.ru/task/7642406/0000749d26--5da317545a96af011f021456,0000749d26--5da317545a96af011f021456,1135a7e486f9ddb6d842caa98b11b3c5,APPROVED,2019-10-13T12:23:48.139,2019-10-13T12:24:51.043,2019-10-13T12:24:51.043,0.15,7642406,fine-grained-one-vr,34.12,,34.12,2,0,True,2,35
29780318,"The Aerobic and Cognitive Exercise Study (ACES) for Community-Dwelling Older Adults With or At-Risk for Mild Cognitive Impairment (MCI): Neuropsychological, Neurobiological and Neuroimaging Outcomes of a Randomized Clinical Trial",pubmed,1,1.0,,"Prior research has found that cognitive benefits of physical exercise and brain health in older adults may be enhanced when mental exercise is interactive simultaneously, as in exergaming. It is unclear whether the cognitive benefit can be maximized by increasing the degree of mental challenge during exercise. This randomized clinical trial (RCT), the Aerobic and Cognitive Exercise Study (ACES) sought to replicate and extend prior findings of added cognitive benefit from exergaming to those with or at risk for mild cognitive impairment (MCI). ACES compares the effects of 6 months of an exer-tour (virtual reality bike rides) with the effects of a more effortful exer-score (pedaling through a videogame to score points). Fourteen community-dwelling older adults meeting screening criteria for MCI (sMCI) were adherent to their assigned exercise for 6 months. The primary outcome was executive function, while secondary outcomes included memory and everyday cognitive function. Exer-tour and exer-score yielded significant moderate effects on executive function (Stroop A/C; d's = 0.51 and 0.47); there was no significant interaction effect. However, after 3 months the exer-tour revealed a significant and moderate effect, while exer-score showed little impact, as did a game-only condition. Both exer-tour and exer-score conditions also resulted in significant improvements in verbal memory. Effects appear to generalize to self-reported everyday cognitive function. Pilot data, including salivary biomarkers and structural MRI, were gathered at baseline and 6 months; exercise dose was associated with increased BDNF as well as increased gray matter volume in the PFC and ACC. Improvement in memory was associated with an increase in the DLPFC. Improved executive function was associated with increased expression of exosomal miRNA-9. Interactive physical and cognitive exercise (both high and low mental challenge) yielded similarly significant cognitive benefit for adherent sMCI exercisers over 6 months. A larger RCT is needed to confirm these findings. Further innovation and clinical trial data are needed to develop accessible, yet engaging and effective interventions to combat cognitive decline for the growing MCI population. ClinicalTrials.gov ID: NCT02237560.",,long,short,1,1,1-1,2280,329,1,False,408b0221-747e-b565-5c58-12761ffd39ab,x-x,1920,889,1570969436870,,"{""24239790"":35,""26335108"":17,""29780318"":10}",0,,,"[{""time"":""2019-10-13T12:24:40.783Z""}]",,,1.0,,1-1,,,,,,,,,,,,,,https://toloka.yandex.ru/task/7642406/0000749d26--5da317545a96af011f021456,0000749d26--5da317545a96af011f021456,1135a7e486f9ddb6d842caa98b11b3c5,APPROVED,2019-10-13T12:23:48.139,2019-10-13T12:24:51.043,2019-10-13T12:24:51.043,0.15,7642406,fine-grained-one-vr,9.793,,9.793,2,1,False,2,10
26335108,A Pilot Prospective Randomized Control Trial Comparing Exercises Using Videogame Therapy to Standard Physical Therapy: 6 Months Follow-Up.,molina-2014,0,,1.0,"Commercially available, interactive videogames that use body movements for interaction are used clinically in burn rehabilitation and have been shown to facilitate functional range of motion (ROM) but their efficacy with burn patients has not yet been proven. The purpose of this pilot randomized control study was to prospectively compare planar and functional ROM, compliance, pain, enjoyment, and exertion in pediatric burn patients receiving two types of rehabilitation therapy. Seventeen school-aged children with 31 affected limbs who demonstrated limited shoulder ROM from burn injury were randomized to receive exercises using either standard therapy ROM activities (ST) or interactive videogame therapy (VGT). Patients received 3 weeks of the designated therapy intervention twice daily. They were then given a corresponding home program of the same type of therapy to perform regularly for 6 months. Standard goniometry and three-dimensional motion analysis during functional tasks were used to assess ROM. Measures were taken at baseline, 3 weeks, 3 months, and 6 months. Pain was measured before and after each treatment session during the 3-week intervention. There was no difference in compliance, enjoyment, or exertion between the groups. Patients in both the ST and VGT groups showed significant improvement in shoulder flexion (P < .001), shoulder abduction (P <.001), shoulder external rotation (P = .01), and elbow flexion (P = .004) ROM from baseline to 6 months as measured with goniometry. Subjects also showed significant gains in elbow flexion (P = .04) during hand to head and shoulder flexion (P = .04) during high reach. There was no difference in ROM gains between the groups. Within group comparison showed that the VGT group had significantly more recovery of ROM during the first 3 weeks than any other timeframe in the study, whereas ST had most gains at 3 months. There was a significant difference between the groups in the subjects' pain response. ST subjects showed an increase in pain during the intervention, whereas VGT subjects did not (VGT: r = .047, ST: r = .18; P = .015). In this study, interactive videogames were equally effective as traditional therapy for overall ROM gains and resulted in quicker recovery of motion with less pain experienced. Such videogames are a useful adjunct to therapy and should be considered as part of a holistic approach to rehabilitation within the hospital and at home after discharge in pediatric patients recovering from burn injury. ",,long,long,0,1,1-0,2515,453,1,False,408b0221-747e-b565-5c58-12761ffd39ab,1-0,1920,889,1570969436870,,"{""24239790"":35,""26335108"":17,""29780318"":10}",0,,,"[{""time"":""2019-10-13T12:24:52.770Z""}]",,,1.0,,,,,,,,,,,,,,,,https://toloka.yandex.ru/task/7642406/0000749d26--5da317545a96af011f021456,0000749d26--5da317545a96af011f021456,1135a7e486f9ddb6d842caa98b11b3c5,APPROVED,2019-10-13T12:23:48.139,2019-10-13T12:24:51.043,2019-10-13T12:24:51.043,0.15,7642406,fine-grained-one-vr,11.987,,11.987,2,0,True,2,17
30305852,"Effects of physical, virtual reality-based, and brain exercise on physical, cognition, and preference in older persons: a randomized controlled trial.",kelly-2018,1,,1.0,"Background: Physical exercise (PE), virtual reality-based exercise (VRE), and brain exercise (BE) can influence physical and cognitive conditions in older persons. However, it is not known which of the three types of exercises provide the best effects on physical and cognitive status, and which exercise is preferred by older persons. This study compared the effects of PE, VRE, and BE on balance, muscle strength, cognition, and fall concern. In addition, exercise effort perception and contentment in older persons was evaluated. Methods: Eighty-four older persons (n = 84) were randomly selected for PE, VRE, BE, and control groups. The exercise groups received 8-week training, whereas the control group did not. Balance was assessed by Berg Balance Scale (BBS) and Timed Up and Go test (TUG), muscle strength by 5 Times Sit to Stand (5TSTS) and left and right hand grip strength (HGS), cognition by Montreal Cognitive Assessment (MoCA) and Timed Up and Go test Cognition (TUG-cog), fall concern by Fall Efficacy Scale International (FES-I), exercise effort perception by Borg category ratio scale (Borg CR-10), and exercise contentment by a questionnaire. Results: After exercise, PE significantly enhanced TUG and 5TSTS to a greater extent than VRE (TUG; p = 0.004, 5TSTS; p = 0.027) and BE (TUG; p = 0,012, 5TSTS; p < 0.001). VRE significantly improved MoCA (p < 0.001) and FES-I (p = 0.036) compared to PE, and 5TSTS (p < 0.001) and FES-I (p = 0.011) were improved relative to BE. MoCA was significantly enhanced by BE compared to PE (p < 0.001) and both MoCA and TUG-cog were improved compared to VRE (p = 0.04). PE and VRE significantly (p < 0.001) increased Borg CR-10 in all exercise sessions, whereas BE showed a significant improvement (p < 0.001) in the first 4 sessions. Participants had a significantly greater satisfaction with BE than controls (p = 0.006), and enjoyed VRE and BE more than PE (p < 0.001). Subjects in all exercise groups exhibited benefits compared to the control group (p < 0.001). Conclusions: PE provided the best results in physical tests, VRE produced measurable improvements in physical and cognition scores, while BE enhanced cognition ability in older persons. Older persons preferred VRE and BE compared to PE. Both exercises are suggested to older persons to improve physical and cognitive conditions.",,long,short,0,0,0-1,2348,483,1,True,2dd6c805-e3bd-7fb0-0171-5fc5c90c6794,0-1,1408,587,1570969529427,,"{""22976384"":8,""29142090"":17,""30305852"":25}",1,,,"[{""time"":""2019-10-13T12:25:57.282Z""}]",,,3.0,,,,,,,,,,,,,,,,https://toloka.yandex.ru/task/7642406/0000749d26--5da317b674c4d8011a3c73f0,0000749d26--5da317b674c4d8011a3c73f0,3b1f43ffcc977f875d9a96adbeade136,APPROVED,2019-10-13T12:25:26.676,2019-10-13T12:26:52.423,2019-10-13T12:26:52.423,0.15,7642406,fine-grained-one-vr,27.855,,27.855,1,0,True,6,25
29142090,Virtual Reality Training for Upper Extremity in Subacute Stroke (VIRTUES): A multicenter RCT.,molina-2014,1,1.0,,"OBJECTIVE: To compare the effectiveness of upper extremity virtual reality rehabilitation training (VR) to time-matched conventional training (CT) in the subacute phase after stroke. METHODS: In this randomized, controlled, single-blind phase III multicenter trial, 120 participants with upper extremity motor impairment within 12 weeks after stroke were consecutively included at 5 rehabilitation institutions. Participants were randomized to either VR or CT as an adjunct to standard rehabilitation and stratified according to mild to moderate or severe hand paresis, defined as ���20 degrees wrist and 10 degrees finger extension or less, respectively. The training comprised a minimum of sixteen 60-minute sessions over 4 weeks. The primary outcome measure was the Action Research Arm Test (ARAT); secondary outcome measures were the Box and Blocks Test and Functional Independence Measure. Patients were assessed at baseline, after intervention, and at the 3-month follow-up. RESULTS: Mean time from stroke onset for the VR group was 35 (SD 21) days and for the CT group was 34 (SD 19) days. There were no between-group differences for any of the outcome measures. Improvement of upper extremity motor function assessed with ARAT was similar at the postintervention (p = 0.714) and follow-up (p = 0.777) assessments. Patients in VR improved 12 (SD 11) points from baseline to the postintervention assessment and 17 (SD 13) points from baseline to follow-up, while patients in CT improved 13 (SD 10) and 17 (SD 13) points, respectively. Improvement was also similar for our subgroup analysis with mild to moderate and severe upper extremity paresis. CONCLUSIONS: Additional upper extremity VR training was not superior but equally as effective as additional CT in the subacute phase after stroke. VR may constitute a motivating training alternative as a supplement to standard rehabilitation. CLINICALTRIALSGOV IDENTIFIER: NCT02079103. CLASSIFICATION OF EVIDENCE: This study provides Class I evidence that for patients with upper extremity motor impairment after stroke, compared to conventional training, VR training did not lead to significant differences in upper extremity function improvement. �� 2017 American Academy of Neurology.",,long,long,0,0,0-1,2238,388,1,True,2dd6c805-e3bd-7fb0-0171-5fc5c90c6794,0-1,1408,587,1570969529427,,"{""22976384"":8,""29142090"":17,""30305852"":25}",1,,,"[{""time"":""2019-10-13T12:26:10.791Z""}]",,,3.0,,0-1,,,,,,,,,,,,,,https://toloka.yandex.ru/task/7642406/0000749d26--5da317b674c4d8011a3c73f0,0000749d26--5da317b674c4d8011a3c73f0,3b1f43ffcc977f875d9a96adbeade136,APPROVED,2019-10-13T12:25:26.676,2019-10-13T12:26:52.423,2019-10-13T12:26:52.423,0.15,7642406,fine-grained-one-vr,13.509,,13.509,1,0,True,6,17
22976384,Virtual-reality balance training with a video-game system improves dynamic balance in chronic stroke patients.,molina-2014,1,,1.0,"Stroke is one of the most serious healthcare problems and a major cause of impairment of cognition and physical functions. Virtual rehabilitation approaches to postural control have been used for enhancing functional recovery that may lead to a decrease in the risk of falling. In the present study, we investigated the effects of virtual reality balance training (VRBT) with a balance board game system on balance of chronic stroke patients. Participants were randomly assigned to 2 groups: VRBT group (11 subjects including 3 women, 65.26 years old) and control group (11 subjects including 5 women, 63.13 years old). Both groups participated in a standard rehabilitation program (physical and occupational therapy) for 60 min a day, 5 times a week for 6 weeks. In addition, the VRBT group participated in VRBT for 30 min a day, 3 times a week for 6 weeks. Static balance (postural sway velocity with eyes open or closed) was evaluated with the posturography. Dynamic balance was evaluated with the Berg Balance Scale (BBS) and Timed Up and Go test (TUG) that measures balance and mobility in dynamic balance. There was greater improvement on BBS (4.00 vs. 2.81 scores) and TUG (-1.33 vs. -0.52 sec) in the VRBT group compared with the control group (P < 0.05), but not on static balance in both groups. In conclusion, we demonstrate a significant improvement in dynamic balance in chronic stroke patients with VRBT. VRBT is feasible and suitable for chronic stroke patients with balance deficit in clinical settings.",,long,medium,1,1,1-1,1519,289,1,False,2dd6c805-e3bd-7fb0-0171-5fc5c90c6794,1-1,1408,587,1570969529427,,"{""22976384"":8,""29142090"":17,""30305852"":25}",1,,,"[{""time"":""2019-10-13T12:26:50.931Z""}]",,,3.0,,,,,,,,,,,,,,,,https://toloka.yandex.ru/task/7642406/0000749d26--5da317b674c4d8011a3c73f0,0000749d26--5da317b674c4d8011a3c73f0,3b1f43ffcc977f875d9a96adbeade136,APPROVED,2019-10-13T12:25:26.676,2019-10-13T12:26:52.423,2019-10-13T12:26:52.423,0.15,7642406,fine-grained-one-vr,40.14,,40.14,1,1,True,6,8
22768793,"Reaching out, inviting back: using Interactive voice response (IVR) technology to recycle relapsed smokers back to Quitline treatment--a randomized controlled trial.",kelly-2018,0,1.0,,"BACKGROUND: Tobacco dependence is a chronic, relapsing condition that typically requires multiple quit attempts and extended treatment. When offered the opportunity, relapsed smokers are interested in recycling back into treatment for a new, assisted quit attempt. This manuscript presents the results of a randomized controlled trial testing the efficacy of interactive voice response (IVR) in recycling low income smokers who had previously used quitline (QL) support back to QL support for a new quit attempt. METHODS: A sample of 2985 previous QL callers were randomized to either receive IVR screening for current smoking (control group) or IVR screening plus an IVR intervention. The IVR intervention consists of automated questions to identify and address barriers to re-cycling in QL support, followed by an offer to be transferred to the QL and reinitiate treatment. Re-enrollment in QL services for both groups was documented. RESULTS: The IVR system successfully reached 715 (23.9%) former QL participants. Of those, 27% (194/715) reported to the IVR system that they had quit smoking and were therefore excluded from the study and analysis. The trial's final sample was composed of 521 current smokers. The re-enrollment rate was 3.3% for the control group and 28.2% for the intervention group (p < .001). Logistic regression results indicated an 11.2 times higher odds for re-enrollment of the intervention group than the control group (p < .001). Results did not vary by gender, race, ethnicity, or level of education, however recycled smokers were older (Mean = 45.2; SD = 11.7) than smokers who declined a new treatment cycle (Mean = 41.8; SD = 13.2); (p = 0.013). The main barriers reported for not engaging in a new treatment cycle were low self-efficacy and lack of interest in quitting. After delivering IVR messages targeting these reported barriers, 32% of the smokers reporting low self-efficacy and 4.8% of those reporting lack of interest in quitting re-engaged in a new QL treatment cycle. CONCLUSION: Proactive IVR outreach is a promising tool to engage low income, relapsed smokers back into a new cycle of treatment. Integration of IVR intervention for recycling smokers with previous QL treatment has the potential to decrease tobacco-related disparities. TRIAL REGISTRATION: ClinicalTrials.gov Identifier: NCT01260597.",,long,short,0,0,0-0,2349,426,1,True,2490a450-80c0-a420-f5fa-38abeef34c06,0-0,1366,577,1570969569246,,"{""22768793"":0,""22976384"":2,""30305852"":0}",0,,,"[{""time"":""2019-10-13T12:26:13.331Z""}]",,,2.0,,0-0,,,,,,,,,,,,,,https://toloka.yandex.ru/task/7642406/0000749d26--5da317df942cf6010ef4728f,0000749d26--5da317df942cf6010ef4728f,6875db48f6b466f92ee6ebf1f440f434,APPROVED,2019-10-13T12:26:07.494,2019-10-13T12:26:16.517,2019-10-13T12:26:16.517,0.15,7642406,fine-grained-one-vr,4.085,,4.085,1,0,True,1,0
